2017-09-11 18:21:41,684 INFO  [Log] 清空日志成功！ 
2017-09-11 18:21:41,686 INFO  [Log] +++++++++++++++++开始调用增加地址接口++++++++++++++++++++++ 
2017-09-11 18:21:41,686 INFO  [Log] =========================测试环境数据读取开始========================= 
2017-09-11 18:21:41,686 INFO  [Log] 配置文件表格：C:\Users\Administrator\eclipse-workspace\api_automation\api\ExcelForData\testData.xlsx 
2017-09-11 18:21:41,686 INFO  [Log] 读取sheet: config 
2017-09-11 18:21:41,733 INFO  [Log] 测试服务器：http://release.thy360.com 
2017-09-11 18:21:41,734 INFO  [Log] 测试社区：813395 
2017-09-11 18:21:41,734 INFO  [Log] 登录手机号码：13714672776 
2017-09-11 18:21:41,734 INFO  [Log] 登陆验证码：1234 
2017-09-11 18:21:41,734 INFO  [Log] 推荐码：13714672774 
2017-09-11 18:21:41,734 INFO  [Log] =========================测试环境数据读取结束========================= 
2017-09-11 18:21:41,734 INFO  [Log] =========================接口信息读取开始========================= 
2017-09-11 18:21:41,734 INFO  [Log] 配置文件表格：C:\Users\Administrator\eclipse-workspace\api_automation\api\ExcelForData\testData.xlsx 
2017-09-11 18:21:41,734 INFO  [Log] 读取sheet: api 
2017-09-11 18:21:41,777 INFO  [Log] 增加收货地址接口: /v3/setting/address，在表格的第4行 
2017-09-11 18:21:41,777 INFO  [Log] =========================接口信息读取结束========================= 
2017-09-11 18:21:41,778 INFO  [Log] +++++++++++++++++开始调用Login获取token++++++++++++++++++++++ 
2017-09-11 18:21:41,778 INFO  [Log] =========================测试环境数据读取开始========================= 
2017-09-11 18:21:41,778 INFO  [Log] 配置文件表格：C:\Users\Administrator\eclipse-workspace\api_automation\api\ExcelForData\testData.xlsx 
2017-09-11 18:21:41,778 INFO  [Log] 读取sheet: config 
2017-09-11 18:21:41,838 INFO  [Log] 测试服务器：http://release.thy360.com 
2017-09-11 18:21:41,838 INFO  [Log] 测试社区：813395 
2017-09-11 18:21:41,838 INFO  [Log] 登录手机号码：13714672776 
2017-09-11 18:21:41,838 INFO  [Log] 登陆验证码：1234 
2017-09-11 18:21:41,838 INFO  [Log] 推荐码：13714672774 
2017-09-11 18:21:41,838 INFO  [Log] =========================测试环境数据读取结束========================= 
2017-09-11 18:21:41,838 INFO  [Log] =========================接口信息读取开始========================= 
2017-09-11 18:21:41,838 INFO  [Log] 配置文件表格：C:\Users\Administrator\eclipse-workspace\api_automation\api\ExcelForData\testData.xlsx 
2017-09-11 18:21:41,838 INFO  [Log] 读取sheet: api 
2017-09-11 18:21:41,870 INFO  [Log] 登录接口: /v2/regist/code，在表格的第1行 
2017-09-11 18:21:41,870 INFO  [Log] =========================接口信息读取结束========================= 
2017-09-11 18:21:41,870 INFO  [Log] +++++++++++++++++开始调用postJsonToken++++++++++++++++++++++ 
2017-09-11 18:21:41,874 INFO  [Log] 测试服务器：http://release.thy360.com 
2017-09-11 18:21:41,874 INFO  [Log] 测试接口：/v2/regist/code 
2017-09-11 18:21:41,875 INFO  [Log] 测试社区：813395 
2017-09-11 18:21:41,875 INFO  [Log] 测试接口的传入json数据：{"introducerCode":"13714672774","code":"1234","phone":"13714672776"} 
2017-09-11 18:21:42,202 INFO  [Log] 测试接口返回:{"statusCode":0,"msg":"登录成功","id":"73993","type":0,"token":"581fb23a-14e8-4cb0-8e63-dfff0c2e5304","expiresIn":21600,"openId":"00046e4077b75f803de6a6d28bbf5b7e","pass":"8-0bc4-8e4","newUser":false,"success":true} 
2017-09-11 18:21:42,202 INFO  [Log] +++++++++++++++++结束调用postJsonToken++++++++++++++++++++++ 
2017-09-11 18:21:42,202 INFO  [Log] +++++++++++++++++结束调用Login++++++++++++++++++++++ 
2017-09-11 18:21:42,202 INFO  [Log] +++++++++++++++++开始调用postJson++++++++++++++++++++++ 
2017-09-11 18:21:42,204 INFO  [Log] 测试服务器：http://release.thy360.com 
2017-09-11 18:21:42,204 INFO  [Log] 测试接口：/v3/setting/address 
2017-09-11 18:21:42,204 INFO  [Log] 测试社区：813395 
2017-09-11 18:21:42,204 INFO  [Log] 用户登录token:581fb23a-14e8-4cb0-8e63-dfff0c2e5304 
